id,judul,klik_tawaran,klik_kita,userId
381111311531864,Toko Kurma mesir,2,0,61555820115539
429350376290077,FREE ONGKIR Kurma Sukari Khalas Ajwa,2,0,61555820115539
755522133215680, daging kambing  ,2,0,61555982018268
941049724037930,Gudang Kurma Mesir Tunisia Madu,2,0,61555982018268
390538370279686,Toko Kurma Muda Ruthob Ember,2,0,61555675305653
3723426151312893,TERMURAH Kurma Muda Ruthob Ember,2,0,61556353975067
396894923062322,Toko Toples Plastik,2,0,61555815998885
7213731548743880,COD Kurma Ajwa Nabi Premium,2,0,61556007938856
221464261044518, daging kambing  ,2,0,61553510910622
3687916801445452, daging kambing  ,2,0,61556101685938
364613626396490, daging kambing  sampil,2,0,61555839967572
276097822188397,FREE ONGKIR Botol Toples Tabung,2,0,61555927143848
1396008151022130,FREE ONGKIR Botol Toples Tabung,2,0,61556253297671
426687629832900, daging kambing  ,2,0,61556220600729
414248031466891,TANAH VILLA BATU VIEW BAGUS,2,0,61556020709372
431443405986205,Suplier Toples Plastik Tabung,2,0,61555808409092
7304765666312241,PUZZLE ANAK KAYU,2,0,61558812123880
987834889510012,PUZLE MAINAN ANAK PUZZLE,2,0,61558877611430
768696872027046,TERMURAH Racun Tikus,2,0,61555820115539
1125196485412114,MAINAN ANAK PUZZLE,2,0,61558921500583
1009169337216612,TANAH VILA  BATU VIEW GUNUNG,2,0,61555864896114
3577191805880289,TERJAMIN,2,1,61553170816315
915337786924832,TIDAK LEBUS,2,1,61554090293931
1851687155301855,Suplier Kurma,2,1,61555846184527
821287199808597,Toko Kurma,2,1,61556243157847
1166280998099236,Importir Kurma Tunisia tangkai,2,1,61556128576418
963526585394767,TERBAGUS Kurma Ajwa Premium,2,1,61555989180738
385806340753764,Suplier Kurma Muda Rutob Premium,2,1,61556441611394
692109223123355,Suplier Kurma Sukari Premium,2,1,61556441611394
1073842093710070,TERMURAH Kurma Muda rutob Premium,2,1,61556421741981
1220290595612902,Importir Kurma Tunisia tangkai,2,1,61556421741981
414670994301760,TERBAGUS Kurma Muda rutob Premium,2,1,61556438271634
1058678142053423,GROSIR Kurma Tunisia madu,2,1,61556438271634
914975220325935,TERMURAH Kurma Muda rutob Premium,2,1,61553646584248
378330388242331,TERMURAH Kurma Muda rutob Premium,2,1,61555996410261
1566109877497641,FREE ONGKIR Kurma Muda rutob Premium,2,1,61555986787876
1345544849466082,FREE ONGKIR Kurma Tunisia Premium,2,1,61555986787876
427102489849088,Suplier Kurma Tunisia tangkai,2,1,61556435871668
1112816323189134,Toko Kurma Muda rutob Premium,2,1,61553646703889
719452923685386,TERBAGUS Kurma Muda rutob Premium,2,1,61555756691442
769098251799437,BISA DIANTAR,2,1,61555756691442
1813899889049791,GROSIR Kurma Ajwa Premium,2,1,61555934231455
1142151463796836,Gudang Kurma,2,1,61556365912717
936765097803603,TERMURAH Kurma Ajwa Premium,2,1,61555649897138
1374827546500323,Importir Kurma Ajwa Premium,2,1,61555649897138
420874613665810,TERBAGUS Kurma,2,1,61555649897138
1102926934169357,Raja Kurma,2,1,61556151744712
7320657861358543,Importir Kurma Muda rutob Premium,2,1,61555982118268
960991935359499,TERMURAH Kurma Ajwa Premium,2,1,61555982118268
802118721746461,TERBAGUS Kurma Sukari Premium,2,1,61555982118268
369113782575222,Pusat Kurma,2,1,61555849154392
352259380911615,BISA COD,2,1,61554738144782
359213440198984,BISA DIANTAR,2,1,61553170816315
914876103618814,BISA COD,2,1,61553170816315
3020857624715946,COD Kurma Ajwa Premium,2,1,61556213669185
763762948632312,Pusat Kurma,2,1,61556213669185
1328335204499775,TERLARIS,2,1,61554729538489
357001893627069,READY RATUSAN KG,2,1,61554729538489
398904619393477,TERBAGUS Kurma Sukari Premium,2,1,61555751511884
934556344685499,Toko Kurma Sukari Premium,2,1,61556145452251
1325011151502119,Raja Kurma,2,1,61555716713931
745146497562826,BISA DIANTAR,2,1,61555894235030
2021642571563178,COD Kurma Sukari Premium,2,1,61554049404148
1326725904685703,COD Kurma Ajwa Premium,2,1,61556146292116
1030127724730567,Tidak Lebus,2,1,61553757158199
379206674479541,Empuk,2,1,61553757158199
3348404122112367,SIAP SUPLAI,2,1,61553632484587
1705449243194301,TERBAGUS Kurma Tunisia basah,2,1,61555989180738
930087651692621,TERBAGUS Kurma Muda rutob Premium,2,1,61555905874464
264506589930018,GROSIR Kurma Tunisia madu,2,1,61555905874464
1155900412066532,TERBAGUS Kurma Tunisia basah,2,1,61555905874464
814743004019813,TERBAGUS Kurma Tunisia basah,2,1,61556147964811
1435366867357781,GROSIR Kurma Muda libya Premium,2,1,61555756691442
2114099218950107,Pusat Kurma Ajwa Premium,2,1,61556365912717
450928920594413,Toko Kurma Sukari Premium,2,1,61556121719372
414921484277613,Pusat Kurma Tunisia madu,2,1,61556131445681
780124056777588,TERMURAH Kurma Tunisia non tangkai,2,1,61555821115539
2434608916747877,TERBAIK Kurma,2,1,61555982118268
1080002423308142,Pusat Kurma Muda ruthob Premium,2,1,61555916283950
1351165029610938,Gudang Kurma,2,1,61555916283950
207493232423947,Toko Kurma Ajwa Premium,2,1,61555675305653
899479845013526,BISA COD,2,1,61553385245857
774624844555575,Suplier Kurma Sukari Premium,2,1,61555851913976
400159672604278,Pusat Kurma,2,1,61555851913976
1087871635972845,TIDAK LEBUS,2,1,61554511897656
743348487317421,HALAL,2,1,61554111833156
389682216776490,BISA COD,2,1,61553725191128
1441897810093773,TERMURAH,2,1,61554224956940
873739237880713,MASIH SEGAR,2,1,61553426313935
1312325556146358,BISA DIANTAR,2,2,61554090293931
1452660595676715,READY RATUSAN KG,2,2,61553916359635
1407775896793497,GROSIR Kurma Sukari Premium,2,2,61556157135771
1056393395436072,Toko Kurma,2,2,61553646703889
2784200621726908,Importir Kurma Sukari Premium,2,2,61555996410261
2169090633445365,TERMURAH Kurma,2,2,61555996410261
1398245894148094,Raja Kurma,2,2,61553646584248
357642723681245,TERMURAH,2,2,61554705207966
2546229952241780,Pusat Kurma,2,2,61555846184527
3363566923789906,SANGAT EMPUK,2,2,61556118266264
1179339946360715,HALAL,2,2,61554718169689
903637577750361,TIDAK LEBUS,2,2,61554738144782
2663210037170386,TERMURAH,2,2,61554738144782
360468460132697,TERMURAH Kurma,2,2,61556177821816
6967455346670138,Empuk,2,2,61554025915739
1657105961487409,Empuk,2,2,61554025915739
310038648047694,READY RATUSAN KG,2,2,61554025915739
387903123845529,TIDAK LEBUS,2,2,61555881965593
1356244959110306,TERBAGUS Kurma,2,2,61555905874464
877257614148733,TERIMA RUTIN,2,2,61554705207966
1137366230771320,TERIMA RUTIN,2,2,61553725191128
1889740514791694,SANGAT EMPUK,2,2,61554111833156
628406332690455,TERJAMIN,2,2,61554111833156
918297293007171,MASIH SEGAR,2,2,61553563637654
7147048238683567,TERLARIS,2,2,61554729538489
870664581454945,TERIMA RUTIN,2,2,61554793403663
881341740404185,HALAL,2,2,61554793403663
1407503826533151,TERBAIK,2,2,61554738144782
399385839135169,READY RATUSAN KG,2,2,61554872541470
1066394987801732,Suplier Kurma Tunisia tangkai,2,2,61556146292116
1112649982987311,TERIMA RUTIN,2,2,61554111833156
1050961722923100,TERIMA RUTIN,2,2,61554111833156
897837078551849,TERIMA RUTIN,2,2,61554111833156
1620404355033462,BISA COD,2,2,61554111833156
420777333637031,TIDAK LEBUS,2,2,61554111833156
7042038105874372,TERLARIS,2,2,61554111833156
1033018941191666,Tidak Lebus,2,2,61553725191128
275176682248389,BISA DIANTAR,2,2,61553725191128
739846404761835,TERLARIS,2,2,61553725191128
395177489600965,READY RATUSAN KG,2,2,61554090293931
2087051141638625,SANGAT EMPUK,2,2,61554090293931
1049286109637604,BISA COD,2,2,61554090293931
827368272487901,GROSIR Kurma Ajwa Premium,2,2,61555989180738
361436496718726,Suplier Kurma,2,2,61555898682124
950851869373811,FREE ONGKIR Kurma Ajwa Premium,2,2,61555898682124
1088452768943753,Raja Kurma,2,2,61556062618754
420359043864370,TERMURAH Kurma Sukari Premium,2,2,61556062618754
421908173615888,COD Kurma Sukari Premium,2,2,61555682655145
